Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Ribosome Biogenesis (GO:0042254)	103/155	3.853331e-41	1.658859e-37	0	0	9.442760e+00	8.787154e+02	C1ORF131;NOC2L;PWP2;RPL7;RRP9;RPS15;FBL;RPS14;RPS16;RPS19;RPS11;GLUL;NOM1;RPS9;DIMT1;RPS8;RPS5;NGDN;RPS6;GTF3A;WDR74;DDX10;DNTTIP2;WDR75;GTPBP4;EBNA1BP2;DKC1;GRWD1;MRTO4;PIH1D2;NOLC1;RPF2;SPATA5;RRP7A;EMG1;SPATA5L1;C1ORF109;DHX37;RRS1;SURF6;UTP20;LYAR;NOP14;NOP16;EIF2S1;MRPL22;RCL1;RPS25;RPS28;TBL3;ZNF658;RSL24D1;DDX49;DDX47;NVL;PAK1IP1;WDR3;MRPS12;NAT10;WDR46;WDR43;XPO1;NOB1;RIOK2;RIOK1;RRP12;METTL17;PELP1;UTP15;WDR36;DIS3;DDX54;URB2;UTP18;CINP;DDX27;NIP7;HEATR1;NOL8;NOC4L;MALSU1;SDAD1;NOL6;EXOSC7;EXOSC5;EXOSC10;EXOSC4;RPS15A;BMS1;PES1;RPL14;HEATR3;EXOSC2;NOP56;NOP58;NPM1;UTP6;WDR18;DDX31;RPL35A;WDR12;BYSL;CUL4A
GO_Biological_Process_2023	Ribonucleoprotein Complex Biogenesis (GO:0022613)	83/118	2.955719e-36	6.362186e-33	0	0	1.125144e+01	9.204725e+02	NVL;PAK1IP1;WDR3;MRPS12;C1ORF131;NAT10;NOC2L;PWP2;WDR46;WDR43;RPL7;RRP9;RPS15;FBL;RPS14;RPS16;XPO1;RPS19;RIOK2;RIOK1;RPS11;GLUL;METTL17;UTP15;NOM1;RPS9;WDR36;DIMT1;RPS8;RPS5;NGDN;RPS6;GTF3A;WDR74;DNTTIP2;WDR75;URB2;UTP18;GTPBP4;EBNA1BP2;SHQ1;GRWD1;MRTO4;CINP;NIP7;HEATR1;MALSU1;RPF2;SPATA5;SDAD1;NOL6;RRP7A;EMG1;EXOSC10;RPS15A;SPATA5L1;C1ORF109;BMS1;PES1;TGS1;DHX37;RRS1;RPL14;SURF6;HEATR3;UTP20;NOP56;NOP14;NOP58;NPM1;UTP6;NOP16;DDX31;RPL35A;WDR12;BYSL;RCL1;CUL4A;RPS25;RPS28;TBL3;ZNF658;RSL24D1
GO_Biological_Process_2023	DNA Metabolic Process (GO:0006259)	132/288	1.405990e-28	2.017595e-25	0	0	4.042294e+00	2.592390e+02	DCLRE1B;TRIM28;ALKBH1;RUVBL2;CHEK1;RUVBL1;LONP1;SMARCAD1;NFRKB;MEN1;GEN1;WDHD1;ENDOG;LIG1;USP3;REV1;HUS1;LIG3;MSH6;NEIL3;MSH2;MSH3;GRWD1;THAP9;TIMELESS;DNA2;NEIL1;INO80B;BLM;INO80D;RNASEH2A;PRKDC;XPC;PDS5A;ORC5;ORC4;ORC6;TERT;ORC1;ORC3;HLTF;ORC2;EP400;ATRIP;ZRANB3;XRCC6;XRCC5;INTS3;XRCC2;XRCC3;FANCA;INO80;POLA1;POLA2;TDP1;CDK2;NABP2;RAD17;ATM;MMS19;RAD18;ATR;RAD9A;TOP2A;FEN1;MCM7;MCM8;MCM9;MCM10;BRCA1;HMGB1;EXO1;TOP1MT;POLL;TOPBP1;POLE;POLH;TOP3B;RFC5;UPF1;RMI2;RFC3;RFC4;PARP2;TOP3A;TERF2;UCHL5;REXO4;TSN;DDB1;RAD51B;SUPV3L1;DMC1;MCM3;MCM4;MCM5;MCM6;DCTPP1;MCM2;PRIM1;TYMS;UNG;RECQL4;POLD3;WRN;RECQL5;CDC45;CBS;POLD1;POLD2;RPS3;RBBP8;POLQ;NPM1;DUT;RRM1;PTGES3;RPA1;DONSON;RPA2;NOC3L;LRWD1;GTF2H3;TICRR;RAD52;RAD50;RAD51;APEX1;RPA3;POLE2;POLE3;RAN
GO_Biological_Process_2023	Translation (GO:0006412)	107/234	2.621271e-23	2.821143e-20	0	0	4.002765e+00	2.081270e+02	RPL4;RPL3;RPL31;RPL34;RPL8;APEH;RPL10A;RPL9;RPL7;RPS15;EEF1B2;RPS14;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPL37;RPS11;RPS9;RPL21;RPS8;RPS5;RPS6;MRPS18B;MRPS18A;RPSA;TUFM;LARS2;RPL29;DAP3;MRPL19;MRPL14;MRPL12;RPS4Y1;GSPT1;MRPL11;MRPL28;EEF2;MRPL21;MRPL22;RPS25;RPS28;RPL27A;AGO2;RPS20;FARSB;EIF4G1;HBS1L;MRPS15;MRPS16;FASTKD2;GFM2;MRPS11;MRPS12;RPLP0;MRPL38;MRPL37;MRPL35;MRPL4;MRPL3;RPL7A;MRPL2;EEF2K;MTG1;RPLP2;EIF5A;TSFM;MRPS26;MRPS27;MRPS24;MRPS25;PABPC4;MARS2;MRPS2;MRPS21;RPL13A;MRPL45;MRPS7;QRSL1;MRPL46;MRPS5;ZAR1;EEF1G;MRPS9;ETF1;MRRF;RPL12;MRPS34;MRPS30;MRPL55;RPS15A;RPL14;RPS3;IARS2;RPS2;RPL17;GADD45GIP1;PTCD3;GATC;RPL35A;WARS2;DRG1;DRG2;RPL22L1;ABCE1
GO_Biological_Process_2023	DNA Repair (GO:0006281)	123/291	7.093034e-23	6.107102e-20	0	0	3.485865e+00	1.777803e+02	DCLRE1B;ALKBH2;TRIM28;EME1;ALKBH1;CHEK2;CHEK1;MEN1;WDHD1;LIG1;USP3;HUS1;LIG3;TRAIP;MSH6;DEPDC1B;NEIL3;NEIL2;MSH2;FANCD2;MSH3;TIMELESS;DNA2;UBE2V1;NEIL1;TP53;BLM;RNASEH2B;RNASEH2A;PRKDC;CDCA5;DDX1;XPC;PDS5A;ATXN3;HLTF;EP400;ATRIP;ZRANB3;FANCI;XRCC6;FANCM;XRCC5;INTS3;XRCC2;XRCC3;FANCA;HMGA2;INO80;FANCB;FANCE;POLA1;PPP5C;TDP1;NABP2;RAD17;ATM;MMS19;RAD18;ATR;RAD9A;FEN1;SETD2;GTF2H2C;BRCA1;BRCA2;EXO1;TNKS1BP1;POLL;TOPBP1;POLE;POLH;PRMT6;RFC5;UPF1;RMI2;RFC3;RFC4;PARP2;USP44;SIRT1;REXO4;DDB1;RAD51B;RNF169;PCNA;POLDIP2;UNG;PRIMPOL;RECQL4;POLD3;WRN;RECQL5;MTA1;POLD1;RPS3;RBBP8;PMS2;ASCC3;PMS1;POLQ;NPM1;RRM1;POLN;ERCC6L2;HUWE1;RPA1;APEX2;RPA2;GTF2H3;MLH1;REC8;TICRR;RAD52;RAD50;RAD51;APEX1;RFWD3;RPA3;POLE2;ERCC2;ERCC8;TRIP13
GO_Biological_Process_2023	rRNA Processing (GO:0006364)	62/101	1.532688e-22	1.099703e-19	0	0	7.495353e+00	3.764905e+02	DDX49;DDX47;NVL;WDR3;NAT10;TFB1M;RPL7;RRP9;RPS15;FBL;RPS14;RPS16;RPS19;NOB1;RIOK2;RIOK1;RRP12;RRP15;PELP1;UTP15;WDR36;DIS3;RPS6;WDR74;DDX10;DDX54;EBNA1BP2;DKC1;MRTO4;NHP2;PIH1D2;DDX27;PRKDC;NOP2;MAK16;NOLC1;NOL8;NOC4L;NOL9;MRM1;NOL6;RRP7A;EXOSC7;EMG1;EXOSC5;EXOSC10;EXOSC4;ERI1;PES1;RPL14;UTP20;LYAR;EXOSC2;NOP56;NOP14;NOP58;WDR18;RPL35A;RPS25;RPS28;LAS1L;NOL11
GO_Biological_Process_2023	DNA-templated DNA Replication (GO:0006261)	49/69	3.039003e-22	1.868987e-19	0	0	1.152166e+01	5.708446e+02	MCM7;MCM10;REV3L;TOPBP1;POLE;RFC5;WDHD1;RFC3;RFC4;RFC1;POLG2;MCM3;MCM4;MCM5;DNA2;MCM6;MCM2;BLM;POLDIP2;PRIM1;PRIMPOL;ORC5;POLD3;RECQL4;ORC4;WRN;CDC45;ORC6;RECQL5;ORC1;ORC3;POLD1;ORC2;POLD2;GINS1;GINS2;RRM1;GINS3;WDR18;GINS4;HMGA1;RPA1;LRWD1;NOC3L;POLA1;POLA2;RAD51;POLE2;POLE3
GO_Biological_Process_2023	ncRNA Processing (GO:0034470)	60/100	3.898263e-21	2.097753e-18	0	0	7.067738e+00	3.321396e+02	POP7;DDX49;POP1;DDX47;NVL;RPP30;INTS10;TSEN2;RPL7;RRP9;THG1L;RPS15;FBL;RPS16;RPS19;NOB1;RRP12;PELP1;UTP15;WDR36;DIS3;RPS6;WDR74;DDX10;DDX54;EBNA1BP2;DKC1;MRTO4;RPP21;PIH1D2;TUT1;ZCCHC8;DDX27;NOLC1;NOL8;NOC4L;NOL6;RRP7A;EXOSC7;EMG1;EXOSC5;EXOSC10;EXOSC4;PES1;RPL14;UTP20;LYAR;EXOSC2;NOP56;NOP14;NOP58;INTS1;INTS3;WDR18;INTS2;RPL35A;BYSL;RPS25;RPS28;INTS9
GO_Biological_Process_2023	Ribosomal Small Subunit Biogenesis (GO:0042274)	53/84	2.928371e-20	1.400738e-17	0	0	8.043956e+00	3.617951e+02	MRPS11;WDR3;MRPS12;C1ORF131;NAT10;PWP2;WDR46;WDR43;RRP9;RPS15;FBL;RPS14;RPS16;NOB1;RPS19;RIOK2;RIOK1;RPS11;METTL17;UTP15;NOM1;RPS9;WDR36;DIMT1;RPS8;RPS5;NGDN;RPS6;DNTTIP2;WDR75;RPSA;MRPS7;UTP18;HEATR1;NOL6;RRP7A;EMG1;EXOSC10;RPS15A;BMS1;DHX37;SURF6;UTP20;NOP56;NOP14;NOP58;NPM1;UTP6;RCL1;RPS25;RPS28;TBL3;NOL11
GO_Biological_Process_2023	Macromolecule Biosynthetic Process (GO:0009059)	84/183	1.007401e-18	4.336860e-16	0	0	4.011175e+00	1.662197e+02	RPL4;HBS1L;ALAS2;MRPS15;RPL3;ALAS1;MRPS16;RPL31;RPL34;MRPS11;MRPS12;RPLP0;MRPL37;RPL10A;RPL8;RPL9;MRPL35;RPL7;EEF1B2;RPS15;RPS14;MRPL3;RPL7A;RPS16;EEF2K;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;POLL;RPL37;RPS11;EIF5A;TSFM;RPS9;RPL21;RPS8;RPS5;SLC11A1;PABPC4;RPS6;MRPS18B;MRPS18A;MRPS21;RPL13A;RPSA;MRPS7;MRPS5;TUFM;ZAR1;EEF1G;RPL29;MRRF;RPL12;MRPL14;MRPL12;RPS4Y1;TYMS;GSPT1;MRPL11;MRPL55;POLD3;RPS15A;TERT;POLD1;POLD2;RPL14;RPS3;APOE;RPS2;RPL17;ST3GAL2;MRPL28;RPL35A;EEF2;RPS25;RPS28;RPL27A;AGO2;RPS20;EIF4G1;FARSB
