Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	DNA replication	28/36	5.657584e-15	1.748193e-12	0	0	1.637315e+01	5.371340e+02	FEN1;RNASEH2B;PCNA;RNASEH2A;MCM7;PRIM1;POLD3;POLD1;POLD2;POLE;RFC5;RFC3;RFC4;LIG1;RFC1;RPA1;RPA2;POLA1;POLA2;POLE2;RPA3;POLE3;MCM3;MCM4;MCM5;DNA2;MCM6;MCM2
KEGG_2021_Human	Cell cycle	57/124	3.365877e-13	5.200280e-11	0	0	3.998532e+00	1.148375e+02	MCM7;BUB1B;CDC20;CCND2;CCND1;CHEK2;MYC;CHEK1;SKP2;ANAPC7;CDC25C;CDC25A;CDC25B;CCNA2;DBF4;RBL1;TFDP1;ESPL1;TFDP2;CCNE1;MCM3;MCM4;ANAPC5;MCM5;MCM6;TP53;ANAPC1;ANAPC2;MCM2;PCNA;PRKDC;TTK;PKMYT1;ORC5;CCNB2;ORC4;CCNB1;ORC6;CDC45;ORC1;ORC3;ORC2;ABL1;E2F4;E2F5;BUB1;SMAD3;TGFB3;PLK1;CDC7;CDC6;WEE1;CDK6;CDC16;CDK2;ATM;ATR
KEGG_2021_Human	Ribosome	66/158	1.218206e-12	1.254752e-10	0	0	3.375328e+00	9.259754e+01	RPL4;MRPS15;RPL3;MRPS16;RPL31;RPL34;MRPS11;MRPS12;RPLP0;RPL10A;RPL8;RPL9;MRPL35;RPL7;RPS15;MRPL4;RPS14;MRPL3;RPL7A;MRPL2;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL37;RPS11;RPS12;RPS9;RPL21;RPS8;RPL23;RPS5;RPS6;MRPS18A;MRPS2;MRPS21;RPL13A;RPSA;MRPS7;MRPS5;MRPS9;RPL29;RPL12;MRPL19;MRPL14;MRPL12;RPS4Y1;MRPL11;RPS15A;RPL14;RPS3;RPS2;RPL17;MRPL28;RPL35A;MRPL21;MRPL22;RPS25;RPS28;RPL27A;RPS20;RPL22L1;RSL24D1
KEGG_2021_Human	RNA transport	73/186	3.184065e-12	2.459690e-10	0	0	3.041736e+00	8.052347e+01	EIF4A1;NUP107;POP7;NUP188;POP1;RPP30;CASC3;PNN;XPO1;NUP62;XPO5;RPP38;NUP214;NDC1;PRMT5;UPF1;NUP210;NCBP1;NUP133;ELAC2;PABPC4;THOC1;THOC5;RANGAP1;NUP93;DDX19A;DDX39B;CLNS1A;NUP50;GEMIN4;RPP21;GEMIN5;GEMIN6;NUP98;PABPC1;GEMIN8;KPNB1;NUP205;POM121;SEH1L;DDX20;NMD3;AAAS;NUP160;POM121C;NUP85;TGS1;TPR;EIF4EBP1;NUP88;NUP43;RPP14;RAE1;EIF4B;EIF2B5;RANBP2;EIF2B4;EIF2B3;NUP155;FUS;RPP40;NUP153;EIF2S1;XPOT;RNPS1;EIF3C;TARDBP;EIF3D;EIF3A;RAN;EIF4G1;EIF3B;NUP37
KEGG_2021_Human	Fanconi anemia pathway	31/54	6.738254e-11	4.164241e-09	0	0	6.304818e+00	1.476628e+02	BLM;WDR48;BRCA1;BRCA2;BRIP1;EME1;REV3L;USP1;PMS2;ATRIP;POLH;TOP3B;FANCI;RMI2;FANCM;POLN;TOP3A;REV1;FANCA;RPA1;RPA2;FANCB;FANCE;MLH1;PALB2;RAD51;FANCD2;RPA3;FAN1;TELO2;ATR
KEGG_2021_Human	Mismatch repair	18/23	3.863622e-10	1.733463e-08	0	0	1.679626e+01	3.640462e+02	RFC5;RFC3;PCNA;RFC4;LIG1;RFC1;RPA1;RPA2;MLH1;MSH6;POLD3;MSH2;EXO1;MSH3;POLD1;RPA3;POLD2;PMS2
KEGG_2021_Human	Ribosome biogenesis in eukaryotes	47/108	3.926938e-10	1.733463e-08	0	0	3.612300e+00	7.823516e+01	RBM28;POP7;POP1;NVL;RPP30;WDR3;HEATR1;NAT10;NMD3;PWP2;SPATA5;WDR43;NOL6;RRP7A;FBL;EMG1;XPO1;NOB1;TCOF1;BMS1;GAR1;RIOK2;RIOK1;UTP14A;RPP38;MDN1;UTP15;NOP56;WDR36;NOP58;UTP6;REXO1;CSNK2A1;RPP40;WDR75;IMP4;GNL2;REXO2;UTP18;GTPBP4;GNL3;RCL1;TBL3;GNL3L;DKC1;NHP2;RAN
KEGG_2021_Human	Herpes simplex virus 1 infection	143/498	6.684581e-10	2.581920e-08	0	0	1.907014e+00	4.028767e+01	ZNF573;ZNF607;ZNF606;ZNF83;ZNF726;ZNF84;ZNF845;ZNF569;ZNF205;ZNF568;ZNF689;ZNF567;ZNF721;ZNF324;ZNF566;ZNF841;ZNF565;ZNF200;ZNF320;ZNF562;ZNF440;ZNF561;ZNF285;ZNF283;ZNF282;ZFP69B;TSC2;HCFC1;ZNF90;ZNF91;ZNF718;ZNF714;ZNF317;ZNF713;ZNF558;ZNF677;ZNF554;TP53;ZNF432;ZNF398;ZNF431;ZNF551;ZNF550;ZNF670;ZNF324B;ZNF273;PIK3R3;PIK3R2;ZNF23;ZNF829;EIF4EBP1;ZNF304;ZNF667;ZNF544;ZNF420;ZNF783;EIF2B5;ZNF540;EIF2B4;EIF2B3;ZNF141;ZNF382;EIF2AK1;PILRB;EIF2S1;SRPK1;MAVS;ZNF816;ZNF419;ZNF418;ZNF814;ZNF813;ZNF416;ZNF658;ZNF777;TAB1;RBAK;ZNF136;ZNF256;ZNF773;ZNF530;ZNF133;ZNF132;ZNF253;ZNF891;ZNF492;ZNF43;ZFP82;ZNF808;ZNF529;ZNF528;ZNF649;CASP3;ZNF527;ZNF766;ZNF765;ZNF764;ZIK1;ZNF486;ZNF480;TRAF2;ZNF57;ZNF519;TRAF3;ZNF599;ZNF114;ZNF234;ZNF112;ZNF233;ZNF595;ZNF473;ZNF230;ZNF471;ZNF3;ZNF749;ZNF506;ZNF229;ZNF347;ZNF589;ZNF621;ZNF585B;ZNF620;ZNF343;ZNF585A;ZNF100;ZNF221;ZNF584;ZNF583;ZNF182;ZNF180;MTOR;ZNF33B;ZNF616;ZNF737;ZNF615;ZNF736;ZNF614;ZNF699;ZNF611;ZNF577;ZNF730;ZNF850;ZNF354B
KEGG_2021_Human	Homologous recombination	25/41	8.083073e-10	2.775189e-08	0	0	7.299659e+00	1.528262e+02	BLM;BRCA1;BRCA2;RAD54B;POLD3;BRIP1;EME1;POLD1;POLD2;RBBP8;RAD54L;TOPBP1;TOP3B;XRCC2;TOP3A;XRCC3;RPA1;RPA2;PALB2;RAD51B;RAD52;RAD50;RAD51;RPA3;ATM
KEGG_2021_Human	Base excision repair	19/33	3.200932e-07	9.890881e-06	0	0	6.330253e+00	9.466674e+01	FEN1;PCNA;LIG1;PARP2;APEX2;LIG3;HMGB1;UNG;POLD3;NEIL3;NEIL2;POLD1;APEX1;POLE2;POLD2;POLE3;POLL;NEIL1;POLE
